Date,WinWL,WinWLLstm
2021/06/02 01:23:35,0,1
2021/06/02 01:23:57,0,1
2021/06/02 01:23:58,1,0
2021/06/02 01:24:13,1,0
2021/06/02 01:24:38,1,0
2021/06/02 01:24:44,0,1
2021/06/02 01:25:12,1,0
2021/06/02 01:27:04,1,0
2021/06/02 01:27:13,1,0
2021/06/02 01:27:24,1,0
2021/06/02 01:27:29,0,1
2021/06/02 01:27:30,1,0
2021/06/02 01:27:38,0,1
2021/06/02 01:27:49,1,0
2021/06/02 01:28:08,1,0
2021/06/02 01:30:08,1,0
2021/06/02 01:30:17,1,0
2021/06/02 01:30:36,0,1
2021/06/02 01:30:47,1,0
2021/06/02 01:31:09,1,0
2021/06/02 01:31:36,0,1
2021/06/02 01:32:20,1,0
2021/06/02 01:32:44,1,0
2021/06/02 01:33:51,0,1
2021/06/02 01:34:08,1,0
2021/06/02 01:34:13,0,1
2021/06/02 01:34:27,0,1
2021/06/02 01:34:28,1,0
2021/06/02 01:37:53,1,0
2021/06/02 01:38:02,0,1
2021/06/02 01:41:29,0,1
2021/06/02 01:41:37,0,1
