Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 09:02:36,1,0
2021/06/13 09:02:38,1,0
2021/06/13 09:02:38,0,1
2021/06/13 09:02:38,0,1
2021/06/13 09:02:40,1,0
2021/06/13 09:02:40,1,0
2021/06/13 09:02:41,1,0
2021/06/13 09:02:42,1,0
2021/06/13 09:02:43,1,0
2021/06/13 09:02:48,1,0
2021/06/13 09:02:52,0,1
2021/06/13 09:02:55,0,1
2021/06/13 09:03:01,0,1
2021/06/13 09:03:03,1,0
2021/06/13 09:03:04,1,0
2021/06/13 09:03:04,1,0
2021/06/13 09:03:06,1,0
2021/06/13 09:03:07,0,1
2021/06/13 09:03:08,1,0
2021/06/13 09:03:12,1,0
2021/06/13 09:03:15,0,1
2021/06/13 09:03:20,0,1
2021/06/13 09:03:20,0,1
2021/06/13 09:03:21,0,1
2021/06/13 09:03:21,1,0
2021/06/13 09:03:24,1,0
2021/06/13 09:03:25,1,0
2021/06/13 09:03:26,1,0
2021/06/13 09:03:26,1,0
2021/06/13 09:03:28,1,0
2021/06/13 09:03:28,0,1
2021/06/13 09:03:30,1,0
2021/06/13 09:03:32,0,1
2021/06/13 09:03:33,0,1
2021/06/13 09:03:33,1,0
2021/06/13 09:03:34,1,0
2021/06/13 09:03:34,1,0
2021/06/13 09:03:34,1,0
2021/06/13 09:03:36,0,1
2021/06/13 09:03:36,1,0
2021/06/13 09:03:37,1,0
2021/06/13 09:03:39,1,0
2021/06/13 09:03:40,0,1
2021/06/13 09:03:41,0,1
2021/06/13 09:03:43,1,0
2021/06/13 09:03:43,0,1
2021/06/13 09:03:44,1,0
2021/06/13 09:03:44,1,0
2021/06/13 09:03:44,0,1
2021/06/13 09:03:45,1,0
2021/06/13 09:03:45,0,1
2021/06/13 09:03:46,1,0
2021/06/13 09:03:50,1,0
2021/06/13 09:03:52,1,0
2021/06/13 09:03:56,1,0
2021/06/13 09:04:04,1,0
2021/06/13 09:04:05,1,0
2021/06/13 09:04:07,0,1
2021/06/13 09:04:08,1,0
2021/06/13 09:04:09,1,0
2021/06/13 09:04:11,0,1
2021/06/13 09:04:12,0,1
2021/06/13 09:04:12,0,1
2021/06/13 09:04:15,1,0
2021/06/13 09:04:15,1,0
2021/06/13 09:04:16,0,1
2021/06/13 09:04:17,1,0
2021/06/13 09:04:17,0,1
2021/06/13 09:04:18,0,1
2021/06/13 09:04:18,0,1
2021/06/13 09:04:19,1,0
2021/06/13 09:04:19,1,0
2021/06/13 09:04:20,1,0
2021/06/13 09:04:21,1,0
2021/06/13 09:04:22,1,0
2021/06/13 09:04:23,1,0
2021/06/13 09:04:24,1,0
2021/06/13 09:04:24,0,1
2021/06/13 09:04:25,1,0
2021/06/13 09:04:25,0,1
2021/06/13 09:04:26,1,0
2021/06/13 09:04:28,0,1
2021/06/13 09:04:29,0,1
2021/06/13 09:04:32,1,0
2021/06/13 09:04:33,1,0
2021/06/13 09:04:35,1,0
2021/06/13 09:04:35,1,0
2021/06/13 09:04:35,0,1
2021/06/13 09:04:36,0,1
2021/06/13 09:04:36,0,1
2021/06/13 09:04:37,0,1
2021/06/13 09:04:38,1,0
2021/06/13 09:04:40,0,1
2021/06/13 09:04:40,1,0
2021/06/13 09:04:43,1,0
2021/06/13 09:04:43,0,1
2021/06/13 09:04:46,0,1
2021/06/13 09:04:51,0,1
2021/06/13 09:04:53,1,0
2021/06/13 09:04:55,0,1
2021/06/13 09:04:56,1,0
2021/06/13 09:04:58,1,0
2021/06/13 09:04:59,1,0
2021/06/13 09:04:59,1,0
2021/06/13 09:05:00,1,0
2021/06/13 09:05:00,1,0
2021/06/13 09:05:01,1,0
2021/06/13 09:05:04,1,0
2021/06/13 09:05:06,0,1
2021/06/13 09:05:07,0,1
2021/06/13 09:05:07,1,0
2021/06/13 09:05:14,0,1
2021/06/13 09:05:16,1,0
2021/06/13 09:05:17,1,0
2021/06/13 09:05:17,1,0
2021/06/13 09:05:22,0,1
2021/06/13 09:05:27,0,1
2021/06/13 09:05:28,1,0
2021/06/13 09:05:32,0,1
2021/06/13 09:05:33,0,1
2021/06/13 09:05:34,1,0
2021/06/13 09:05:37,1,0
2021/06/13 09:05:38,0,1
2021/06/13 09:05:38,1,0
2021/06/13 09:05:41,0,1
2021/06/13 09:05:44,1,0
2021/06/13 09:05:45,0,1
2021/06/13 09:05:45,0,1
2021/06/13 09:05:53,0,1
2021/06/13 09:05:53,1,0
2021/06/13 09:05:54,0,1
2021/06/13 09:05:55,1,0
2021/06/13 09:05:57,0,1
2021/06/13 09:05:58,1,0
2021/06/13 09:06:00,0,1
2021/06/13 09:06:03,1,0
2021/06/13 09:06:03,0,1
2021/06/13 09:06:05,1,0
2021/06/13 09:06:06,1,0
2021/06/13 09:06:10,0,1
2021/06/13 09:06:10,1,0
2021/06/13 09:06:12,1,0
2021/06/13 09:06:14,0,1
2021/06/13 09:06:14,1,0
2021/06/13 09:06:16,1,0
2021/06/13 09:06:16,1,0
2021/06/13 09:06:18,1,0
2021/06/13 09:06:18,0,1
2021/06/13 09:06:19,1,0
2021/06/13 09:06:22,0,1
2021/06/13 09:06:22,0,1
2021/06/13 09:06:27,1,0
2021/06/13 09:06:27,0,1
2021/06/13 09:06:28,1,0
2021/06/13 09:06:29,1,0
2021/06/13 09:06:32,0,1
2021/06/13 09:06:34,1,0
2021/06/13 09:06:37,1,0
2021/06/13 09:06:37,0,1
2021/06/13 09:06:39,0,1
2021/06/13 09:06:39,1,0
2021/06/13 09:06:41,1,0
2021/06/13 09:06:42,0,1
2021/06/13 09:06:43,1,0
2021/06/13 09:06:45,1,0
2021/06/13 09:06:47,0,1
2021/06/13 09:06:47,1,0
2021/06/13 09:06:48,0,1
2021/06/13 09:06:48,0,1
2021/06/13 09:06:50,0,1
2021/06/13 09:06:53,1,0
2021/06/13 09:06:55,1,0
2021/06/13 09:06:55,1,0
2021/06/13 09:06:57,1,0
2021/06/13 09:06:58,1,0
2021/06/13 09:07:02,0,1
2021/06/13 09:07:03,0,1
2021/06/13 09:07:04,1,0
2021/06/13 09:07:07,0,1
2021/06/13 09:07:07,0,1
2021/06/13 09:07:09,1,0
2021/06/13 09:07:10,0,1
2021/06/13 09:07:13,1,0
2021/06/13 09:07:14,0,1
2021/06/13 09:07:17,0,1
2021/06/13 09:07:18,1,0
2021/06/13 09:07:19,0,1
2021/06/13 09:07:19,1,0
2021/06/13 09:07:19,1,0
2021/06/13 09:07:21,1,0
2021/06/13 09:07:23,1,0
2021/06/13 09:07:25,1,0
2021/06/13 09:07:25,1,0
2021/06/13 09:07:25,1,0
2021/06/13 09:07:26,0,1
2021/06/13 09:07:28,1,0
2021/06/13 09:07:31,1,0
2021/06/13 09:07:34,1,0
2021/06/13 09:07:35,0,1
2021/06/13 09:07:36,1,0
2021/06/13 09:07:36,1,0
2021/06/13 09:07:38,1,0
2021/06/13 09:07:38,1,0
2021/06/13 09:07:39,0,1
2021/06/13 09:07:39,1,0
2021/06/13 09:07:40,0,1
2021/06/13 09:07:41,0,1
2021/06/13 09:07:45,1,0
2021/06/13 09:07:46,0,1
2021/06/13 09:07:48,1,0
2021/06/13 09:07:48,1,0
2021/06/13 09:07:50,0,1
2021/06/13 09:07:50,1,0
2021/06/13 09:07:52,1,0
2021/06/13 09:07:53,0,1
2021/06/13 09:07:54,1,0
2021/06/13 09:07:54,0,1
2021/06/13 09:07:59,0,1
2021/06/13 09:08:00,0,1
2021/06/13 09:08:02,1,0
2021/06/13 09:08:03,1,0
2021/06/13 09:08:05,0,1
2021/06/13 09:08:09,0,1
2021/06/13 09:08:10,1,0
2021/06/13 09:08:10,0,1
2021/06/13 09:08:11,1,0
2021/06/13 09:08:11,0,1
2021/06/13 09:08:12,1,0
2021/06/13 09:08:13,1,0
2021/06/13 09:08:15,1,0
2021/06/13 09:08:16,1,0
2021/06/13 09:08:17,0,1
2021/06/13 09:08:19,0,1
2021/06/13 09:08:22,1,0
2021/06/13 09:08:26,0,1
2021/06/13 09:08:28,1,0
2021/06/13 09:08:28,0,1
2021/06/13 09:08:29,0,1
2021/06/13 09:08:32,1,0
2021/06/13 09:08:33,0,1
2021/06/13 09:08:33,1,0
2021/06/13 09:08:36,1,0
2021/06/13 09:08:36,1,0
2021/06/13 09:08:38,1,0
2021/06/13 09:08:40,1,0
2021/06/13 09:08:42,0,1
2021/06/13 09:08:42,0,1
2021/06/13 09:08:42,1,0
2021/06/13 09:08:46,0,1
2021/06/13 09:08:52,1,0
2021/06/13 09:08:54,1,0
2021/06/13 09:08:56,1,0
2021/06/13 09:09:00,0,1
2021/06/13 09:09:00,0,1
2021/06/13 09:09:02,1,0
2021/06/13 09:09:03,0,1
2021/06/13 09:09:03,0,1
2021/06/13 09:09:04,0,1
2021/06/13 09:09:15,1,0
2021/06/13 09:09:15,0,1
2021/06/13 09:09:17,1,0
2021/06/13 09:09:18,1,0
2021/06/13 09:09:19,0,1
2021/06/13 09:09:21,1,0
2021/06/13 09:09:22,1,0
2021/06/13 09:09:22,0,1
2021/06/13 09:09:23,1,0
2021/06/13 09:09:23,1,0
2021/06/13 09:09:26,0,1
2021/06/13 09:09:31,1,0
2021/06/13 09:09:36,0,1
2021/06/13 09:09:41,1,0
2021/06/13 09:09:43,1,0
2021/06/13 09:09:48,1,0
2021/06/13 09:09:54,0,1
2021/06/13 09:09:55,0,1
2021/06/13 09:09:55,0,1
2021/06/13 09:09:57,0,1
2021/06/13 09:09:58,1,0
2021/06/13 09:10:01,0,1
2021/06/13 09:10:06,0,1
2021/06/13 09:10:06,0,1
2021/06/13 09:10:07,0,1
2021/06/13 09:10:11,1,0
2021/06/13 09:10:13,1,0
2021/06/13 09:10:13,1,0
2021/06/13 09:10:15,0,1
2021/06/13 09:10:17,1,0
2021/06/13 09:10:18,1,0
2021/06/13 09:10:19,0,1
2021/06/13 09:10:19,0,1
2021/06/13 09:10:20,1,0
2021/06/13 09:10:20,1,0
2021/06/13 09:10:21,1,0
2021/06/13 09:10:22,1,0
2021/06/13 09:10:24,1,0
2021/06/13 09:10:30,1,0
2021/06/13 09:10:31,1,0
2021/06/13 09:10:32,0,1
2021/06/13 09:10:36,1,0
2021/06/13 09:10:39,1,0
2021/06/13 09:10:39,0,1
2021/06/13 09:10:45,1,0
2021/06/13 09:10:49,0,1
2021/06/13 09:10:51,0,1
2021/06/13 09:10:54,0,1
2021/06/13 09:10:55,0,1
2021/06/13 09:10:56,1,0
2021/06/13 09:10:58,0,1
2021/06/13 09:11:00,0,1
2021/06/13 09:11:00,1,0
2021/06/13 09:11:02,1,0
2021/06/13 09:11:06,0,1
2021/06/13 09:11:07,1,0
2021/06/13 09:11:07,1,0
2021/06/13 09:11:07,0,1
2021/06/13 09:11:09,1,0
2021/06/13 09:11:09,0,1
2021/06/13 09:11:11,0,1
2021/06/13 09:11:13,0,1
2021/06/13 09:11:15,1,0
2021/06/13 09:11:18,0,1
2021/06/13 09:11:18,0,1
2021/06/13 09:11:20,0,1
2021/06/13 09:11:22,1,0
2021/06/13 09:11:23,0,1
2021/06/13 09:11:25,1,0
2021/06/13 09:11:25,1,0
2021/06/13 09:11:32,1,0
2021/06/13 09:11:40,0,1
2021/06/13 09:11:48,1,0
2021/06/13 09:11:50,0,1
2021/06/13 09:11:51,1,0
2021/06/13 09:11:51,1,0
2021/06/13 09:11:51,0,1
2021/06/13 09:11:53,1,0
2021/06/13 09:11:54,1,0
2021/06/13 09:11:55,1,0
2021/06/13 09:11:56,0,1
2021/06/13 09:11:58,0,1
2021/06/13 09:12:00,1,0
2021/06/13 09:12:00,1,0
2021/06/13 09:12:01,1,0
2021/06/13 09:12:03,1,0
2021/06/13 09:12:03,0,1
2021/06/13 09:12:03,1,0
2021/06/13 09:12:04,0,1
2021/06/13 09:12:06,1,0
2021/06/13 09:12:06,1,0
2021/06/13 09:12:10,0,1
2021/06/13 09:12:10,1,0
2021/06/13 09:12:11,1,0
2021/06/13 09:12:11,0,1
2021/06/13 09:12:13,1,0
2021/06/13 09:12:15,1,0
2021/06/13 09:12:18,0,1
2021/06/13 09:12:18,0,1
2021/06/13 09:12:19,1,0
2021/06/13 09:12:20,1,0
2021/06/13 09:12:21,1,0
2021/06/13 09:12:21,0,1
2021/06/13 09:12:22,1,0
2021/06/13 09:12:23,0,1
2021/06/13 09:12:23,1,0
2021/06/13 09:12:24,1,0
2021/06/13 09:12:26,1,0
2021/06/13 09:12:26,1,0
2021/06/13 09:12:27,0,1
2021/06/13 09:12:28,1,0
2021/06/13 09:12:29,0,1
2021/06/13 09:12:29,1,0
2021/06/13 09:12:32,1,0
2021/06/13 09:12:32,0,1
2021/06/13 09:12:34,0,1
2021/06/13 09:12:35,1,0
2021/06/13 09:12:36,1,0
2021/06/13 09:12:36,0,1
2021/06/13 09:12:37,1,0
2021/06/13 09:12:37,1,0
2021/06/13 09:12:44,0,1
2021/06/13 09:12:44,0,1
2021/06/13 09:12:44,1,0
2021/06/13 09:12:46,1,0
2021/06/13 09:12:47,1,0
2021/06/13 09:12:47,1,0
2021/06/13 09:12:47,1,0
2021/06/13 09:12:48,1,0
2021/06/13 09:12:48,0,1
2021/06/13 09:12:49,1,0
2021/06/13 09:12:50,1,0
2021/06/13 09:12:52,1,0
2021/06/13 09:12:54,1,0
2021/06/13 09:12:54,1,0
2021/06/13 09:12:55,1,0
2021/06/13 09:12:56,0,1
2021/06/13 09:12:59,1,0
2021/06/13 09:13:03,1,0
2021/06/13 09:13:03,1,0
2021/06/13 09:13:08,1,0
2021/06/13 09:13:08,1,0
2021/06/13 09:13:09,1,0
2021/06/13 09:13:10,1,0
2021/06/13 09:13:13,1,0
2021/06/13 09:13:17,0,1
2021/06/13 09:13:18,0,1
2021/06/13 09:13:21,1,0
2021/06/13 09:13:24,0,1
2021/06/13 09:13:28,0,1
2021/06/13 09:13:29,0,1
2021/06/13 09:13:30,0,1
2021/06/13 09:13:33,1,0
2021/06/13 09:13:34,0,1
2021/06/13 09:13:37,1,0
2021/06/13 09:13:48,0,1
2021/06/13 09:13:51,0,1
