Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 08:32:47,1,0
2021/06/09 08:32:49,0,1
2021/06/09 08:32:49,1,0
2021/06/09 08:32:54,1,0
2021/06/09 08:33:02,1,0
2021/06/09 08:33:04,1,0
2021/06/09 08:33:05,1,0
2021/06/09 08:33:06,0,1
2021/06/09 08:33:11,1,0
2021/06/09 08:33:14,1,0
2021/06/09 08:33:14,0,1
2021/06/09 08:33:14,1,0
2021/06/09 08:33:16,0,1
2021/06/09 08:33:18,1,0
2021/06/09 08:33:21,0,1
2021/06/09 08:33:22,1,0
2021/06/09 08:33:23,0,1
2021/06/09 08:33:24,0,1
2021/06/09 08:33:24,0,1
2021/06/09 08:33:27,0,1
2021/06/09 08:33:29,0,1
2021/06/09 08:33:30,1,0
2021/06/09 08:33:32,1,0
2021/06/09 08:33:33,0,1
2021/06/09 08:33:34,1,0
2021/06/09 08:33:35,0,1
2021/06/09 08:33:35,1,0
2021/06/09 08:33:36,0,1
2021/06/09 08:33:36,1,0
2021/06/09 08:33:39,0,1
2021/06/09 08:33:39,1,0
2021/06/09 08:33:40,0,1
2021/06/09 08:33:41,1,0
2021/06/09 08:33:41,1,0
2021/06/09 08:33:44,0,1
2021/06/09 08:33:44,1,0
2021/06/09 08:33:44,1,0
2021/06/09 08:33:48,0,1
2021/06/09 08:33:50,1,0
2021/06/09 08:33:52,1,0
2021/06/09 08:33:52,1,0
2021/06/09 08:33:54,1,0
2021/06/09 08:33:55,0,1
2021/06/09 08:33:55,1,0
2021/06/09 08:33:56,0,1
2021/06/09 08:33:57,1,0
2021/06/09 08:33:59,1,0
2021/06/09 08:34:00,1,0
2021/06/09 08:34:01,0,1
2021/06/09 08:34:01,1,0
2021/06/09 08:34:01,1,0
2021/06/09 08:34:01,0,1
2021/06/09 08:34:02,0,1
2021/06/09 08:34:04,1,0
2021/06/09 08:34:04,1,0
2021/06/09 08:34:04,0,1
2021/06/09 08:34:05,1,0
2021/06/09 08:34:05,0,1
2021/06/09 08:34:08,0,1
2021/06/09 08:34:10,0,1
2021/06/09 08:34:10,1,0
2021/06/09 08:34:11,0,1
2021/06/09 08:34:12,1,0
2021/06/09 08:34:14,0,1
2021/06/09 08:34:15,1,0
2021/06/09 08:34:15,1,0
2021/06/09 08:34:15,1,0
2021/06/09 08:34:16,0,1
2021/06/09 08:34:17,1,0
2021/06/09 08:34:18,1,0
2021/06/09 08:34:18,1,0
2021/06/09 08:34:20,1,0
2021/06/09 08:34:21,1,0
2021/06/09 08:34:22,0,1
2021/06/09 08:34:24,0,1
2021/06/09 08:34:25,1,0
2021/06/09 08:34:26,1,0
2021/06/09 08:34:26,0,1
2021/06/09 08:34:27,1,0
2021/06/09 08:34:29,1,0
2021/06/09 08:34:29,1,0
2021/06/09 08:34:30,1,0
2021/06/09 08:34:32,1,0
2021/06/09 08:34:32,0,1
2021/06/09 08:34:33,1,0
2021/06/09 08:34:33,0,1
2021/06/09 08:34:34,0,1
2021/06/09 08:34:35,0,1
2021/06/09 08:34:36,1,0
2021/06/09 08:34:36,1,0
2021/06/09 08:34:36,0,1
2021/06/09 08:34:38,1,0
2021/06/09 08:34:40,1,0
2021/06/09 08:34:41,0,1
2021/06/09 08:34:42,0,1
2021/06/09 08:34:45,1,0
2021/06/09 08:34:48,1,0
2021/06/09 08:34:48,0,1
2021/06/09 08:34:48,1,0
2021/06/09 08:34:50,1,0
2021/06/09 08:34:50,1,0
2021/06/09 08:34:51,0,1
2021/06/09 08:34:51,1,0
2021/06/09 08:34:54,1,0
2021/06/09 08:34:54,1,0
2021/06/09 08:34:54,0,1
2021/06/09 08:34:55,1,0
2021/06/09 08:34:55,1,0
2021/06/09 08:34:57,0,1
2021/06/09 08:34:58,1,0
2021/06/09 08:35:01,0,1
2021/06/09 08:35:07,0,1
2021/06/09 08:35:09,1,0
2021/06/09 08:35:12,0,1
2021/06/09 08:35:12,1,0
2021/06/09 08:35:15,1,0
2021/06/09 08:35:18,1,0
2021/06/09 08:35:19,1,0
2021/06/09 08:35:21,1,0
2021/06/09 08:35:21,0,1
2021/06/09 08:35:22,1,0
2021/06/09 08:35:22,0,1
2021/06/09 08:35:22,1,0
2021/06/09 08:35:23,0,1
2021/06/09 08:35:24,1,0
2021/06/09 08:35:25,1,0
2021/06/09 08:35:25,1,0
2021/06/09 08:35:26,1,0
2021/06/09 08:35:28,0,1
2021/06/09 08:35:29,0,1
2021/06/09 08:35:30,1,0
2021/06/09 08:35:35,1,0
2021/06/09 08:35:36,1,0
2021/06/09 08:35:43,1,0
2021/06/09 08:35:44,1,0
2021/06/09 08:35:45,0,1
2021/06/09 08:35:46,1,0
2021/06/09 08:35:46,0,1
2021/06/09 08:35:48,1,0
2021/06/09 08:35:53,0,1
2021/06/09 08:35:53,0,1
2021/06/09 08:35:54,1,0
2021/06/09 08:35:54,1,0
2021/06/09 08:35:56,0,1
2021/06/09 08:35:57,1,0
2021/06/09 08:35:58,0,1
2021/06/09 08:35:59,0,1
2021/06/09 08:35:59,1,0
2021/06/09 08:36:00,1,0
2021/06/09 08:36:01,0,1
2021/06/09 08:36:02,0,1
2021/06/09 08:36:05,0,1
2021/06/09 08:36:08,1,0
2021/06/09 08:36:09,0,1
2021/06/09 08:36:09,0,1
2021/06/09 08:36:11,1,0
2021/06/09 08:36:11,1,0
2021/06/09 08:36:11,0,1
2021/06/09 08:36:12,1,0
2021/06/09 08:36:12,1,0
2021/06/09 08:36:14,1,0
2021/06/09 08:36:14,0,1
2021/06/09 08:36:14,1,0
2021/06/09 08:36:15,1,0
2021/06/09 08:36:15,1,0
2021/06/09 08:36:15,1,0
2021/06/09 08:36:16,0,1
2021/06/09 08:36:17,0,1
2021/06/09 08:36:18,1,0
2021/06/09 08:36:19,1,0
2021/06/09 08:36:19,0,1
2021/06/09 08:36:19,1,0
2021/06/09 08:36:21,1,0
2021/06/09 08:36:22,1,0
2021/06/09 08:36:24,1,0
2021/06/09 08:36:25,1,0
2021/06/09 08:36:25,1,0
2021/06/09 08:36:27,1,0
2021/06/09 08:36:27,1,0
2021/06/09 08:36:28,1,0
2021/06/09 08:36:29,1,0
2021/06/09 08:36:30,0,1
2021/06/09 08:36:32,0,1
2021/06/09 08:36:35,0,1
2021/06/09 08:36:35,1,0
2021/06/09 08:36:35,1,0
2021/06/09 08:36:36,1,0
2021/06/09 08:36:36,1,0
2021/06/09 08:36:39,1,0
2021/06/09 08:36:40,1,0
2021/06/09 08:36:40,1,0
2021/06/09 08:36:40,0,1
2021/06/09 08:36:41,0,1
2021/06/09 08:36:43,0,1
2021/06/09 08:36:46,0,1
2021/06/09 08:36:46,1,0
2021/06/09 08:36:48,0,1
2021/06/09 08:36:49,0,1
2021/06/09 08:36:52,1,0
2021/06/09 08:36:52,0,1
2021/06/09 08:36:53,1,0
2021/06/09 08:36:54,1,0
2021/06/09 08:36:58,1,0
2021/06/09 08:36:59,1,0
2021/06/09 08:36:59,1,0
2021/06/09 08:36:59,0,1
2021/06/09 08:37:00,1,0
2021/06/09 08:37:01,1,0
2021/06/09 08:37:01,1,0
2021/06/09 08:37:03,1,0
2021/06/09 08:37:03,0,1
2021/06/09 08:37:04,1,0
2021/06/09 08:37:04,1,0
2021/06/09 08:37:06,1,0
2021/06/09 08:37:11,0,1
2021/06/09 08:37:12,0,1
2021/06/09 08:37:14,0,1
2021/06/09 08:37:14,0,1
2021/06/09 08:37:17,1,0
2021/06/09 08:37:18,0,1
2021/06/09 08:37:20,1,0
2021/06/09 08:37:21,0,1
2021/06/09 08:37:21,1,0
2021/06/09 08:37:24,0,1
2021/06/09 08:37:26,0,1
2021/06/09 08:37:28,1,0
2021/06/09 08:37:29,1,0
2021/06/09 08:37:29,1,0
2021/06/09 08:37:31,1,0
2021/06/09 08:37:33,0,1
2021/06/09 08:37:39,0,1
2021/06/09 08:37:39,1,0
2021/06/09 08:37:40,0,1
2021/06/09 08:37:41,0,1
2021/06/09 08:37:41,1,0
2021/06/09 08:37:42,1,0
2021/06/09 08:37:43,0,1
2021/06/09 08:37:46,0,1
2021/06/09 08:37:48,1,0
2021/06/09 08:37:52,1,0
2021/06/09 08:37:52,0,1
2021/06/09 08:37:55,1,0
2021/06/09 08:37:56,1,0
2021/06/09 08:37:57,0,1
2021/06/09 08:37:57,1,0
2021/06/09 08:37:58,1,0
2021/06/09 08:37:58,0,1
2021/06/09 08:37:58,0,1
2021/06/09 08:37:59,0,1
2021/06/09 08:37:59,1,0
2021/06/09 08:38:04,1,0
2021/06/09 08:38:05,1,0
2021/06/09 08:38:07,0,1
2021/06/09 08:38:07,1,0
2021/06/09 08:38:08,1,0
2021/06/09 08:38:12,1,0
2021/06/09 08:38:15,1,0
2021/06/09 08:38:15,1,0
2021/06/09 08:38:15,0,1
2021/06/09 08:38:16,0,1
2021/06/09 08:38:16,1,0
2021/06/09 08:38:16,1,0
2021/06/09 08:38:20,1,0
2021/06/09 08:38:20,0,1
2021/06/09 08:38:20,0,1
2021/06/09 08:38:21,1,0
2021/06/09 08:38:22,0,1
2021/06/09 08:38:23,0,1
2021/06/09 08:38:24,0,1
2021/06/09 08:38:25,0,1
2021/06/09 08:38:25,0,1
2021/06/09 08:38:26,1,0
2021/06/09 08:38:30,1,0
2021/06/09 08:38:31,1,0
2021/06/09 08:38:35,0,1
2021/06/09 08:38:39,1,0
2021/06/09 08:38:40,1,0
2021/06/09 08:38:40,1,0
2021/06/09 08:38:41,0,1
2021/06/09 08:38:42,1,0
2021/06/09 08:38:46,0,1
2021/06/09 08:38:46,1,0
2021/06/09 08:38:47,0,1
2021/06/09 08:38:48,0,1
2021/06/09 08:38:49,0,1
2021/06/09 08:38:50,0,1
2021/06/09 08:38:50,1,0
2021/06/09 08:38:52,0,1
2021/06/09 08:38:53,1,0
2021/06/09 08:38:57,0,1
2021/06/09 08:38:58,0,1
2021/06/09 08:38:58,1,0
2021/06/09 08:38:58,1,0
2021/06/09 08:38:59,0,1
2021/06/09 08:39:00,1,0
2021/06/09 08:39:01,1,0
2021/06/09 08:39:01,0,1
2021/06/09 08:39:02,1,0
2021/06/09 08:39:03,1,0
2021/06/09 08:39:03,0,1
2021/06/09 08:39:07,1,0
2021/06/09 08:39:08,1,0
2021/06/09 08:39:08,1,0
2021/06/09 08:39:10,1,0
